DATA ABERTURA,Nº PEDIDO OMIE,LOTES,FORNECEDOR,Qdt Container,PRODUTOS,Nº PI,CONDIÇOES PAGAMENTO,VALOR PI,PAGAMENTO 1,PAGAMENTO 2,PAGAMENTO 3,DATA PAGAMENTO 1,DATA PAGAMENTO 2,DATA PAGAMENTO 3,SALDO PAGAR,PREVI PRONTIDÃO,EMBARQUE,PREVISÃO CHEGADA,STATUS CARGA,STATUS PROCESSO,NOME DO NAVIO,LOCAL NAVIO
03/01/2024,166,5,SOLAREST,,"FT35,55,75,105,125",SHP-24530103,30% - 70%,"$131,809.00","$131,809.00",,,,,,,,20/01/2025,23/05/2024,CONCLUÍDO,CONCLUÍDO,,
12/01/2024,167,6,SOLAREST,,"FT35,55,75,105,125",SHP-24530112,30% - 70%,"124,598.00","$52,746.30","$71,851.70",,,,,$-,,,23/05/2024,CONCLUÍDO,CONCLUÍDO,,
29/04/2024,489,7,SOLAREST,,"FT35,55,75,105,125",SHP-24530221,30% - 70%,"124,750.00","$80,000.00","$42,969.44",$670.59,,,,$-,,,01/06/2024,CONCLUÍDO,CONCLUÍDO,,
18/06/2024,,,Adentech,,Placas controladoras,XP240611,100% -,$135.00,$135.00,,,,,,$-,22/07/2024,22/07/2024,29/07/2024,CONCLUÍDO,CONCLUÍDO,,
29/05/2024,615,,MU Star,,Placas,MXJ0527,100% -,"$5,331.92","$5,331.92",,,,,,,20/07/2024,20/07/2024,30/07/2024,CONCLUÍDO,CONCLUÍDO,,
11/06/2024,614,,OLC DISPLAY,,"DISPLAY NOVO 3.5""",#LCM2406110350,100% -,$784.00,$784.00,,,,,,$-,19/07/2024,19/07/2024,30/07/2024,CONCLUÍDO,CONCLUÍDO,,
29/04/2024,500,8,SOLAREST,,DRIVES,SHP-24530403,30% - 70%,"$5,790.28","$5,790.28",,,,,,$-,23/05/2024,25/06/2024,11/08/2024,CONCLUÍDO,CONCLUÍDO,,
20/03/2024,490,8,SOLAREST,,"FT35,55,75,105,125",SHP-24530320,30% - 70%,"$135,230.00","$40,569.00","$93,748.05",$912.95,,,,$-,23/05/2024,25/06/2024,11/08/2024,CONCLUÍDO,CONCLUÍDO,,
13/04/2024,,8,SOLAREST,,ABS CASE,SHP-24530413,100% -,"$1,109.97",,"$1,109.97",,,,,$-,23/05/2024,25/06/2024,11/08/2024,CONCLUÍDO,CONCLUÍDO,,
05/04/2024,498,,LONG TREM,,FILTROS E CABOS,24CR1385,30% - 70%,"$2,037.00","$2,037.00",,,,,,$-,01/07/2024,22/07/2024,13/09/2024,CONCLUÍDO,CONCLUÍDO,,
06/04/2024,275,,BAOJI,,TITANIUM,HYD20240406,40% - 60%,"$16,584.50","$5,986.00","$10,598.50",,,,,$-,01/07/2024,22/07/2024,13/09/2024,CONCLUÍDO,CONCLUÍDO,,
07/04/2024,499,,R & A TRADE,,PALETEIRA,RA2024040701,30% - 70%,"$2,400.00","$2,400.00",,,,,,$-,01/07/2024,22/07/2024,13/09/2024,CONCLUÍDO,CONCLUÍDO,,
12/04/2024,496,,TRUSTEC,,MOTOR VENTILADOR,TRM24041201,30% - 70%,"$12,355.20","$12,355.20",,,,,,$-,01/07/2024,22/07/2024,13/09/2024,CONCLUÍDO,CONCLUÍDO,,
18/06/2024,603,9,SOLAREST,,"FT25,35,45,55 - M",SHP-24530619,30% - 70%,"$107,640.00","$32,292.00","$75,348.00",,,,,$-,03/08/2024,17/08/2024,04/10/2024,CONCLUÍDO,CONCLUÍDO,,
29/05/2024,613,,OLC DISPLAY,,"DISPLAY NOVO 1.44""",#LCLM2405281440,100% -,$285.60,$285.60,,,,,,$-,20/06/2024,,25/06/2024,CONCLUÍDO,CONCLUÍDO,,
01/07/2024,,9,SOLAREST,,ADESIVO - Placas Logo,SHP-24530630,100% -,$300.00,$300.00,,,,,,$-,03/08/2024,17/08/2024,29/09/2024,CONCLUÍDO,CONCLUÍDO,,
08/07/2024,680,10,SOLAREST,,"FT25,45,75, 105 e 125 - M",SHP-24530708,30% - 70%,"$134,250.00","$39,483.00","$4,652.00","$90,115.00",,,,$-,18/08/2024,30/08/2024,15/10/2024,CONCLUÍDO,CONCLUÍDO,,
11/06/2024,,,Therata,,Placas controladoras,CIPATSCM20240607,100% -,$526.00,$526.00,,,,,,$-,27/07/2024,02/07/2024,09/07/2024,CONCLUÍDO,CONCLUÍDO,,
18/06/2024,,,Smart Power,,Placas controladoras,HZSCT-CI-20240606,100% -,$200.00,$200.00,,,,,,$-,18/06/2024,19/06/2024,03/07/2024,CONCLUÍDO,CONCLUÍDO,,
20/03/2024,430,LCL1,Zhonghan Lasmin,,BOMBAS 50HTZ,20240320,30% - 70%,"$24,588.10","$7,086.75","$17,501.35",,,,,$-,30/07/2024,07/09/2024,22/11/2024,CONCLUÍDO,CONCLUÍDO,,
13/05/2024,497,LCL1,HOOYEE,,TERMINAIS,W24BRA0603,30% - 70%,"$1,324.28","$1,324.28",,,,,,$-,01/07/2024,07/09/2024,22/11/2024,CONCLUÍDO,CONCLUÍDO,,
04/06/2024,491/495,P1,SOLAREST,,40 PEÇAS FT35 / 40 PEÇAS FT55 / 5 peças 18k / 5 peças 12k - (P1),SHP-24530604,30% - 70%,"$34,927.50","$34,927.50",,,,,,$-,30/07/2024,07/09/2024,22/11/2024,CONCLUÍDO,CONCLUÍDO,,
22/05/2024,,LCL1,SALVADOR,,PVC,SW2403036,100% -,"$5,383.72","$5,383.72",,,,,,$-,20/08/2024,07/09/2024,22/11/2024,CONCLUÍDO,CONCLUÍDO,,
15/07/2024,,LCL1,Edawn Technology,,Sensor Água,ACOL-FST-202401,100% -,$910.00,$910.00,,,,,,$-,22/07/2024,07/09/2024,22/11/2024,CONCLUÍDO,CONCLUÍDO,,
02/06/2024,,P2,SOLAREST,1,40 PEÇAS FT35 / 40 PEÇAS FT55 / FT75 peças 18k / 5 peças 12k - (P2),SHP-24530702,30% - 70%,"$55,298.31","$16,402.25","$38,896.06",,,,,$-,31/08/2024,06/10/2024,26/11/2024,CONCLUÍDO,CONCLUÍDO,,
09/08/2024,,Motor/P2,Snow,,MOTOR VENTILADOR,SCYC2408001,100% -,"$1,938.00","$1,938.00",,,,,,$-,10/09/2024,29/09/2024,26/11/2024,CONCLUÍDO,CONCLUÍDO,,
28/08/2024,,amostra P2,Power World,,Bomba de Calor FTI75,DGPW-20240828-01E,,$-,,,,,,,$-,02/09/2024,29/09/2024,26/11/2024,CONCLUÍDO,CONCLUÍDO,,
27/08/2024,,11,SOLAREST,2,"FT25,35,45,55,75, 105 e 125 - 105 T - 125 t - M",SHP-24530824,30% - 70%,"$240,960.00","$72,288.00","$168,672.00",,,,,$-,08/10/2024,28/10/2024,19/12/2024,CONCLUÍDO,CONCLUÍDO,,
